datetime,104,1111,Total
2021/05/01,15,3,27
2021/05/01,15,3,27
2021/05/02,5,2,16
2021/05/02,5,2,16
2021/05/03,7,2,18
2021/05/03,7,2,18
2021/05/04,8,3,19
2021/05/04,8,3,19
2021/05/05,7,3,18
2021/05/05,7,3,18
2021/05/06,5,3,16
2021/05/06,6,3,17
2021/05/07,12,3,23
2021/05/07,12,3,23
2021/05/08,14,3,25
2021/05/08,14,3,25
2021/05/09,6,3,17
2021/05/09,6,3,17
2021/05/10,6,3,17
2021/05/10,6,3,17
2021/05/11,13,2,23
2021/05/11,14,2,24
2021/05/14,8,2,10
2021/05/14,9,2,11
2021/05/14,9,2,11
2021/05/15,11,2,13
2021/05/15,11,2,13
2021/05/16,6,2,8
2021/05/17,7,2,9
2021/05/17,7,2,9
2021/05/18,5,2,7
2021/05/18,5,2,7
2021/05/19,7,2,9
2021/05/19,7,2,9
2021/05/20,11,2,13
2021/05/20,10,2,12
2021/05/21,5,2,7
2021/05/21,5,2,7
2021/05/22,11,2,13
2021/05/22,11,2,13
2021/05/23,3,2,5
2021/05/23,7,2,9
2021/05/24,4,2,6
2021/05/24,6,2,8
2021/05/25,6,2,8
2021/05/25,6,2,8
2021/05/26,14,2,16
2021/05/26,14,2,16
2021/05/27,12,2,14
2021/05/27,12,2,14
2021/05/28,4,2,6
2021/05/28,6,2,8
2021/05/29,9,2,11
2021/05/29,9,2,11
2021/05/30,5,2,7
2021/05/30,3,2,5
2021/05/31,3,2,5
2021/06/01,9,2,11
2021/06/02,6,2,8
2021/06/03,11,3,14
2021/06/04,6,3,9
2021/06/05,12,3,15
2021/06/05,12,3,15
2021/06/06,3,3,6
2021/06/06,4,3,7
2021/06/07,5,2,7
2021/06/08,6,3,9
2021/06/08,6,3,9
2021/06/09,5,4,9
2021/06/09,3,4,7
2021/06/10,18,5,23
2021/06/10,18,5,23
2021/06/11,11,6,17
2021/06/11,8,6,14
2021/06/12,12,6,18
2021/06/12,12,6,18
2021/06/13,13,6,19
2021/06/13,13,6,19
2021/06/14,7,6,13
2021/06/14,7,6,13
2021/06/15,6,5,11
2021/06/15,6,5,11
2021/06/16,6,5,11
2021/06/16,7,5,12
2021/06/17,3,5,8
2021/06/17,3,4,7
2021/06/18,13,5,18
2021/06/18,16,5,21
2021/06/19,17,5,22
2021/06/19,17,5,22
2021/06/19,17,5,22
2021/06/20,18,5,23
2021/06/20,18,5,23
2021/06/20,19,5,24
2021/06/21,2,5,7
2021/06/21,2,5,7
2021/06/22,1,6,7
2021/06/22,7,6,13
2021/06/23,2,6,8
2021/06/23,2,6,8
2021/06/23,2,6,8
2021/06/24,5,2,7
2021/06/24,8,2,10
2021/06/24,5,2,7
2021/06/25,6,3,9
2021/06/25,9,3,12
2021/06/25,6,3,9
2021/06/26,13,2,15
2021/06/26,14,3,17
2021/06/26,14,2,16
2021/06/27,10,2,12
2021/06/27,5,2,7
2021/06/27,5,2,7
2021/06/28,9,2,11
2021/06/28,8,3,11
2021/06/29,9,2,11
2021/06/29,10,2,12
2021/06/29,9,1,10
2021/06/30,4,2,6
2021/06/30,7,2,9
2021/06/30,4,2,6
2021/07/01,13,2,15
2021/07/01,13,2,15
2021/07/01,13,2,15
2021/07/02,8,2,10
2021/07/02,9,2,11
2021/07/02,9,2,11
2021/07/03,9,2,11
2021/07/03,11,2,13
2021/07/03,9,1,10
2021/07/04,3,2,5
2021/07/04,2,2,4
2021/07/04,5,2,7
2021/07/05,5,1,6
2021/07/05,5,2,7
2021/07/05,5,1,6
2021/07/06,11,1,12
2021/07/06,13,2,15
2021/07/06,9,2,11
2021/07/07,7,2,9
2021/07/07,6,1,7
2021/07/08,9,2,11
2021/07/08,9,2,11
2021/07/09,5,2,7
2021/07/09,9,2,11
2021/07/09,8,2,10
2021/07/10,7,2,9
2021/07/10,7,2,9
2021/07/10,4,2,6
2021/07/11,6,2,8
2021/07/11,9,2,11
2021/07/11,6,2,8
2021/07/12,12,1,13
2021/07/12,9,2,11
2021/07/12,12,2,14
2021/07/13,10,2,12
2021/07/13,10,2,12
2021/07/13,13,1,14
2021/07/14,8,2,10
2021/07/14,9,1,10
2021/07/14,8,1,9
2021/07/15,2,2,4
2021/07/15,2,2,4
2021/07/15,3,1,4
2021/07/16,2,2,4
2021/07/16,1,2,3
2021/07/16,1,1,2
2021/07/17,3,2,5
2021/07/17,3,2,5
2021/07/17,5,2,7
2021/07/18,4,2,6
2021/07/18,5,2,7
2021/07/18,5,1,6
2021/07/19,4,2,6
2021/07/19,4,2,6
2021/07/19,4,2,6
2021/07/20,6,2,8
2021/07/20,3,2,5
2021/07/20,4,2,6
2021/07/21,6,2,8
2021/07/21,5,2,7
2021/07/21,3,2,5
2021/07/22,3,2,5
2021/07/22,4,2,6
2021/07/22,4,2,6
2021/07/23,4,2,6
2021/07/23,6,2,8
2021/07/23,6,2,8
2021/07/24,8,2,10
2021/07/24,8,2,10
2021/07/24,9,2,11
2021/07/25,1,2,3
2021/07/25,1,2,3
2021/07/25,2,2,4
2021/07/26,2,2,4
2021/07/26,2,2,4
2021/07/26,2,2,4
2021/07/27,8,2,10
2021/07/27,9,2,11
2021/07/27,9,2,11
2021/07/28,2,2,4
2021/07/28,2,2,4
2021/07/28,2,2,4
2021/07/29,3,2,5
2021/07/29,3,2,5
2021/07/29,3,2,5
2021/07/30,3,2,5
2021/07/30,3,2,5
2021/07/30,3,2,5
2021/07/31,7,2,9
2021/07/31,7,2,9
2021/07/31,7,2,9
2021/08/01,8,2,10
2021/08/01,8,2,10
2021/08/01,8,2,10
2021/08/02,1,2,3
2021/08/02,1,2,3
2021/08/02,1,2,3
2021/08/03,2,2,4
2021/08/03,2,2,4
2021/08/03,2,2,4
2021/08/04,4,2,6
2021/08/04,4,2,6
2021/08/04,4,2,6
2021/08/05,5,2,7
2021/08/05,5,2,7
2021/08/05,6,2,8
2021/08/06,2,2,4
2021/08/06,1,2,3
2021/08/06,3,2,5
2021/08/07,5,2,7
2021/08/07,6,2,8
2021/08/07,6,2,8
2021/08/08,7,1,8
2021/08/08,7,2,9
2021/08/08,6,2,8
2021/08/09,1,7,8
2021/08/09,2,7,9
2021/08/09,1,7,8
2021/08/10,6,1,7
2021/08/10,6,1,7
2021/08/11,4,1,5
2021/08/11,3,1,4
2021/08/11,4,1,5
2021/08/12,1,1,2
2021/08/12,1,1,2
2021/08/12,1,1,2
2021/08/13,7,1,8
2021/08/13,7,1,8
2021/08/13,9,1,10
2021/08/14,10,1,11
2021/08/14,10,1,11
2021/08/14,10,1,11
2021/08/15,7,1,8
2021/08/15,6,1,7
2021/08/15,6,1,7
2021/08/16,1,1,2
2021/08/16,1,1,2
2021/08/16,1,1,2
2021/08/17,2,1,3
2021/08/17,3,1,4
2021/08/17,3,1,4
2021/08/18,7,1,8
2021/08/18,5,1,6
2021/08/18,7,1,8
2021/08/19,3,1,4
2021/08/19,3,1,4
2021/08/19,3,1,4
2021/08/20,4,1,5
2021/08/20,5,1,6
2021/08/20,6,1,7
2021/08/21,4,1,5
2021/08/21,4,1,5
2021/08/21,7,1,8
2021/08/22,5,1,6
2021/08/22,2,1,3
2021/08/22,3,1,4
2021/08/23,3,1,4
2021/08/23,4,1,5
2021/08/23,4,1,5
2021/08/24,4,1,5
2021/08/24,4,1,5
2021/08/24,4,1,5
2021/08/25,4,1,5
2021/08/25,4,1,5
2021/08/25,4,1,5
2021/08/26,3,1,4
2021/08/26,3,1,4
2021/08/26,3,1,4
2021/08/27,3,1,4
2021/08/27,3,1,4
2021/08/27,3,1,4
2021/08/28,6,1,7
2021/08/28,6,1,7
2021/08/28,7,1,8
2021/08/29,6,1,7
2021/08/29,3,1,4
2021/08/29,3,1,4
2021/08/30,8,1,9
2021/08/30,8,1,9
2021/08/30,8,1,9
2021/08/31,3,1,4
2021/08/31,3,1,4
2021/08/31,3,1,4
2021/09/01,8,1,9
2021/09/01,8,1,9
2021/09/01,7,1,8
2021/09/02,4,1,5
2021/09/02,8,1,9
2021/09/02,4,1,5
2021/09/03,11,1,12
2021/09/03,11,1,12
2021/09/03,11,1,12
2021/09/04,5,1,6
2021/09/04,5,1,6
2021/09/04,5,1,6
2021/09/05,6,1,7
2021/09/05,5,1,6
2021/09/05,5,1,6
2021/09/06,6,1,7
2021/09/06,6,1,7
2021/09/06,6,1,7
2021/09/07,5,1,6
2021/09/07,6,1,7
2021/09/07,5,1,6
2021/09/08,6,1,7
2021/09/08,7,1,8
2021/09/08,7,1,8
2021/09/09,5,1,6
2021/09/09,4,1,5
2021/09/09,5,1,6
2021/09/10,6,1,7
2021/09/10,6,1,7
2021/09/10,5,1,6
2021/09/11,8,1,9
2021/09/11,6,1,7
2021/09/11,6,1,7
2021/09/12,7,1,8
2021/09/12,6,1,7
2021/09/12,6,1,7
2021/09/13,4,1,5
2021/09/13,3,1,4
2021/09/13,3,1,4
2021/09/14,6,1,7
2021/09/14,11,1,12
2021/09/14,6,1,7
2021/09/15,7,1,8
2021/09/15,5,1,6
2021/09/15,4,1,5
2021/09/16,3,1,4
2021/09/16,3,1,4
2021/09/16,3,1,4
2021/09/17,6,1,7
2021/09/17,2,1,3
2021/09/17,2,1,3
2021/09/18,4,1,5
2021/09/18,3,1,4
2021/09/18,3,1,4
2021/09/19,3,1,4
2021/09/19,3,1,4
2021/09/19,3,1,4
2021/09/20,10,1,11
2021/09/20,10,1,11
2021/09/20,10,1,11
2021/09/21,14,1,15
2021/09/21,15,1,16
2021/09/21,15,1,16
2021/09/22,12,1,13
2021/09/22,4,1,5
2021/09/22,4,1,5
2021/09/23,4,1,5
2021/09/23,6,1,7
2021/09/23,6,1,7
2021/09/24,3,1,4
2021/09/24,3,1,4
2021/09/24,5,1,6
2021/09/25,8,1,9
2021/09/25,8,1,9
2021/09/25,8,1,9
2021/09/26,4,1,5
2021/09/26,4,1,5
2021/09/26,4,1,5
2021/09/27,11,8,19
2021/09/27,13,8,21
2021/09/27,13,8,21
2021/09/28,11,8,19
2021/09/28,10,8,18
2021/09/28,11,8,19
2021/09/29,10,8,18
